"","question_number","comment","guidance","judgement","tone","active_listening","follow_up","natural","begin","finish","skipped","comment_1","grammaticality","grammaticality_confidence","relevance","relevance_confidence","specificity","specificity_confidence","clarity","clarity_confidence","empathy","empathy_confidence","response_complexity","response_complexity_confidence","engagement","engagement_confidence","tone_answers","tone_answers_confidence","interview_identifier","type","rater"
"140",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,3,5,4,5,3,5,"4","Human","rater1"
"141",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,4,5,3,5,4,5,"4","Human","rater1"
"142",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,2,5,3,5,3,5,"4","Human","rater1"
"143",8,"0",0,0,0,0,0,1,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,4,5,"4","Human","rater1"
"144",9,"0",0,0,0,0,0,1,0,0,0,"0",5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,"4","Human","rater1"
"145",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"4","Human","rater1"
"146",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,3,5,4,5,4,5,"4","Human","rater1"
"147",12,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,"4","Human","rater1"
"148",13,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,"4","Human","rater1"
"149",14,"0",1,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,"4","Human","rater1"
"150",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","Human","rater1"
"151",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,2,5,3,5,3,5,"2","Human","rater1"
"152",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,3,4,3,5,2,5,4,5,4,5,"2","Human","rater1"
"153",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"154",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,1,5,4,5,3,5,"2","Human","rater1"
"155",5,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,5,5,5,5,4,5,1,5,4,5,3,5,"2","Human","rater1"
"156",6,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,5,5,5,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"157",7,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,4,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"158",8,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,5,3,5,4,4,2,5,4,5,3,5,"2","Human","rater1"
"159",9,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,5,4,5,2,5,2,5,4,5,3,5,"2","Human","rater1"
"160",10,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,5,5,2,5,2,5,4,5,3,5,"2","Human","rater1"
"161",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,2,5,4,5,3,5,"2","Human","rater1"
"162",12,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,3,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"163",13,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,4,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"164",14,"0",0,0,0,0,0,0,0,0,0,"0",3,5,4,5,3,5,3,5,3,5,2,5,4,5,3,5,"2","Human","rater1"
"165",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","Human","rater1"
"166",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,2,5,3,5,"5","Human","rater1"
"167",2,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,4,5,4,5,3,5,"5","Human","rater1"
"168",3,"0",0,0,0,1,0,1,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,3,5,4,5,4,5,"5","Human","rater1"
"169",4,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,3,5,3,5,"5","Human","rater1"
"170",5,"0",0,0,0,1,0,1,0,0,0,"respondent mixed up the scale (he thought it is reversed)",5,5,2,4,5,5,3,4,1,5,2,5,5,5,3,3,"5","Human","rater1"
"171",6,"0",0,0,0,1,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,1,5,2,5,4,5,3,5,"5","Human","rater1"
"172",7,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,2,5,4,5,3,5,"5","Human","rater1"
"173",8,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,"5","Human","rater1"
"174",9,"Interviewer tried to skip 2 questions but was stoped by respondent (both had a guide)",0,0,0,1,0,0,0,0,1,"0",4,5,5,5,5,5,5,5,3,4,3,5,4,5,3,5,"5","Human","rater1"
"175",10,"0",0,0,0,1,0,0,0,0,1,"0",4,5,5,5,5,5,4,5,3,5,2,5,4,5,3,5,"5","Human","rater1"
"176",11,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,4,5,3,5,"5","Human","rater1"
"177",12,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,4,5,3,5,"5","Human","rater1"
"178",13,"0",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,4,5,4,5,"5","Human","rater1"
"179",14,"Interviewer in general wasn't really involved iand intrested",0,0,0,1,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,3,5,4,5,4,5,"5","Human","rater1"
"180",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","Human","rater1"
"181",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3","Human","rater1"
"182",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,5,4,5,1,5,1,5,2,4,3,5,"3","Human","rater1"
"183",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,4,5,5,5,5,5,1,5,1,5,2,4,3,5,"3","Human","rater1"
"184",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,2,5,3,5,"3","Human","rater1"
"185",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,2,5,2,5,3,5,"3","Human","rater1"
"186",6,"0",0,1,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,3,5,1,5,2,5,2,5,3,5,"3","Human","rater1"
"187",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,2,5,3,5,"3","Human","rater1"
"188",8,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,2,5,2,5,3,5,"3","Human","rater1"
"189",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,5,5,5,1,5,2,5,2,5,3,5,"3","Human","rater1"
"190",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3","Human","rater1"
"191",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,3,5,3,5,4,5,2,5,1,5,2,5,3,5,"3","Human","rater1"
"192",12,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3","Human","rater1"
"193",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,2,5,2,5,3,5,"3","Human","rater1"
"194",14,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,2,5,3,5,"3","Human","rater1"
"195",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","Human","rater1"
"196",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,1,5,2,5,3,5,"1","Human","rater1"
"197",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,4,5,4,5,"1","Human","rater1"
"198",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,4,5,4,5,4,5,"1","Human","rater1"
"199",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,3,5,3,5,"1","Human","rater1"
"200",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,4,5,"1","Human","rater1"
"201",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,"1","Human","rater1"
"202",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,"1","Human","rater1"
"203",8,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,"1","Human","rater1"
"204",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,2,5,4,4,3,5,"1","Human","rater1"
"205",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,4,5,3,5,3,5,4,5,4,5,"1","Human","rater1"
"206",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,4,5,4,5,3,5,5,5,4,5,"1","Human","rater1"
"207",12,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,4,5,5,5,4,5,"1","Human","rater1"
"208",13,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,3,5,1,5,4,5,3,5,"1","Human","rater1"
"209",14,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,3,5,4,5,3,5,4,5,3,5,"1","Human","rater1"
"210",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","Human","rater1"
"211",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,2,5,3,5,"9","Human","rater1"
"212",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,1,5,2,5,2,5,3,5,"9","Human","rater1"
"213",3,"0",1,0,0,0,0,0,0,0,0,"0",4,5,3,5,4,5,5,5,4,4,2,5,4,5,4,5,"9","Human","rater1"
"214",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"9","Human","rater1"
"215",5,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,4,5,4,5,3,5,3,5,4,5,3,5,"9","Human","rater1"
"216",6,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,3,5,3,5,3,5,1,5,3,5,3,5,"9","Human","rater1"
"217",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,3,5,3,5,"9","Human","rater1"
"218",8,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,4,5,2,5,4,5,3,5,"9","Human","rater1"
"219",9,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,4,5,3,5,4,5,2,5,4,5,3,5,"9","Human","rater1"
"220",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,2,5,4,5,3,5,"9","Human","rater1"
"221",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,3,5,4,5,4,5,3,5,4,5,3,5,"9","Human","rater1"
"222",12,"0",0,0,0,0,0,0,0,0,0,"0",4,5,3,4,3,5,4,5,4,5,3,5,4,5,3,5,"9","Human","rater1"
"223",13,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,4,5,3,5,4,5,3,5,"9","Human","rater1"
"224",14,"0",1,0,0,0,0,0,0,0,0,"0",4,5,2,5,3,5,3,5,4,5,2,5,3,5,3,5,"9","Human","rater1"
"225",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9","Human","rater1"
"226",0,"0",0,0,0,0,0,0,0,0,0,"0",4,4,5,4,2,4,5,5,2,3,2,4,2,4,3,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"227",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,4,5,5,1,5,1,5,1,5,3,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"228",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,4,5,5,1,4,2,4,1,5,4,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"229",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,4,5,5,2,2,1,5,1,1,3,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"230",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,1,5,5,1,5,1,5,1,5,2,3,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"231",5,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,2,4,5,5,2,4,2,4,2,4,3,5,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"232",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,5,5,5,2,4,1,5,2,4,3,5,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"233",7,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,2,4,5,5,1,4,1,5,1,4,3,5,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"234",8,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,2,4,1,5,2,4,3,5,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"235",9,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,5,5,5,5,2,5,3,4,5,5,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"236",10,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,1,4,5,5,3,3,2,4,3,4,3,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"237",11,"0",0,0,0,0,0,0,0,0,0,"0",4,4,5,5,1,5,5,5,1,4,1,5,1,5,2,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"238",12,"0",0,0,0,0,0,0,0,0,0,"0",3,3,5,5,3,3,5,5,2,3,4,5,1,3,2,3,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"239",13,"0",0,0,0,0,0,0,0,0,0,"0",2,3,5,5,1,5,4,5,1,5,1,5,1,5,1,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"240",14,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,2,4,5,5,2,4,1,5,1,5,2,4,"e3463372-5289-4a62-b6d0-1fb5b4c1e87d","AI","rater2"
"241",0,"0",0,0,0,0,0,0,0,0,0,"0",3,5,4,5,3,5,3,5,4,4,2,5,4,4,3,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"242",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,4,5,5,1,5,1,5,1,5,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"243",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,3,5,5,1,3,1,5,1,5,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"244",3,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,4,3,5,4,4,3,3,4,4,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"245",4,"0",0,0,0,0,0,0,0,0,0,"0",2,5,5,5,4,4,2,4,4,4,3,3,3,4,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"246",5,"0",0,0,0,0,0,0,0,0,0,"0",3,4,5,5,2,4,4,4,2,5,1,4,2,3,3,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"247",6,"0",0,0,0,0,0,0,0,0,0,"0",2,4,5,5,3,4,2,5,4,3,3,2,4,4,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"248",7,"0",0,0,0,0,0,0,0,0,0,"0",1,4,4,4,4,4,2,4,5,5,3,2,5,5,3,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"249",8,"0",0,0,0,1,0,0,0,0,0,"0",1,4,3,4,3,3,2,4,5,5,3,3,4,4,2,3,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"250",9,"0",0,0,0,0,0,0,0,0,0,"0",2,4,4,4,3,4,2,4,5,5,3,4,4,4,2,2,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"251",10,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,1,3,5,5,5,4,2,2,3,2,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"252",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,3,2,1,5,2,5,5,5,1,4,2,4,3,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"253",12,"0",0,0,0,0,0,0,0,0,0,"0",3,4,4,2,2,4,3,4,3,2,2,3,3,3,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"254",13,"0",0,0,0,0,0,0,0,0,0,"0",3,4,4,4,3,4,3,4,3,3,2,4,3,4,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"255",14,"0",0,0,0,0,0,0,0,0,0,"0",5,4,5,3,1,4,5,5,5,4,1,5,3,3,3,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater2"
"256",0,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,5,5,2,4,2,4,2,4,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"257",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,1,5,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"258",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,4,5,5,4,4,2,4,3,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"259",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,4,5,5,3,4,3,4,3,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"260",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,4,5,5,5,1,5,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"261",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,3,5,4,5,5,5,3,5,2,4,3,4,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"262",6,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,1,5,5,5,3,3,2,4,2,4,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"263",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,4,5,5,2,4,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"264",8,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,3,3,1,5,2,4,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"265",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,3,3,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"266",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,1,5,1,5,1,5,2,3,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"267",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,5,5,2,4,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"268",12,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,2,5,5,5,2,5,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"269",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,5,5,5,2,5,1,5,1,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"270",14,"0",0,0,0,0,0,0,0,0,0,"cut off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater2"
"271",0,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,4,5,3,3,2,4,3,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"272",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,5,5,3,5,1,5,3,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"273",2,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,4,4,5,2,4,1,5,2,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"274",3,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,4,4,5,3,4,1,5,3,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"275",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,5,5,1,5,1,5,1,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"276",5,"0",0,1,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,3,5,4,4,3,4,4,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"277",6,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,4,4,5,2,3,3,3,3,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"278",7,"0",0,1,0,0,0,0,0,0,0,"0",5,4,5,5,3,4,4,5,3,5,2,4,3,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"279",8,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,4,5,3,3,3,5,3,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"280",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,1,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"281",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,3,5,5,3,3,1,5,1,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"282",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,5,5,2,4,1,5,2,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"283",12,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,2,5,5,5,2,4,1,5,1,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"284",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,3,3,4,4,4,5,5,5,2,4,4,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"285",14,"0",0,0,0,0,0,0,0,0,0,"0",4,5,3,3,3,5,5,5,3,4,2,3,3,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater2"
"286",0,"0",0,0,0,0,0,0,0,0,0,"0",4,4,5,5,3,4,4,4,3,3,2,4,4,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"287",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,5,5,2,5,1,5,3,4,3,4,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"288",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,5,5,4,5,3,3,3,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"289",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,4,5,3,4,2,5,3,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"290",4,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",4,4,5,5,4,5,3,4,3,3,3,3,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"291",5,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",3,5,5,5,4,5,2,4,4,3,3,3,4,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"292",6,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",3,4,4,4,3,3,2,4,5,5,3,3,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"293",7,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,2,5,5,5,1,5,1,5,1,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"294",8,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",3,5,5,5,4,4,3,5,5,5,3,3,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"295",9,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,3,4,3,3,2,4,4,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"296",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,1,5,5,5,3,3,1,4,1,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"297",11,"0",0,0,0,0,0,0,0,0,0,"0",3,5,4,3,2,4,3,4,3,3,2,4,3,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"298",12,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",3,5,5,5,3,4,3,4,3,3,2,4,4,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"299",13,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,2,5,2,5,3,3,2,4,3,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"300",14,"0",0,0,0,0,0,0,0,0,0,"technical difficulties",3,4,5,5,2,4,2,5,3,3,2,3,3,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater2"
"301",0,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,5,5,4,4,3,4,3,4,4,4,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater2"
